Rv_ID,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_carey_rv,carey_630_vs_carey_rv,carey_631_vs_carey_rv,carey_632_vs_carey_rv,carey_641_vs_carey_rv,carey_662_vs_carey_rv,carey_663_vs_carey_rv,carey_667_vs_carey_rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,129s1.SvImJ_vs_C57BL.6J,A.J_vs_C57BL.6J,C57BL.6J_vs_129s1.SvImJ,C57BL.6J_vs_A.J,C57BL.6J_vs_C57BL.6J,C57BL.6J_vs_mbio_H37Rv,CC001.Unc_vs_C57BL.6J,CC002.Unc_vs_C57BL.6J,CC003.Unc_vs_C57BL.6J,CC004.TauUnc_vs_C57BL.6J,CC005.TauUnc_vs_C57BL.6J,CC006.TauUnc_vs_C57BL.6J,CC007.Unc_vs_C57BL.6J,CC008.GeniUnc_vs_C57BL.6J,CC009.Unc_vs_C57BL.6J,CC010.GeniUnc_vs_C57BL.6J,CC011.Unc_vs_C57BL.6J,CC012.GeniUnc_vs_C57BL.6J,CC013.GeniUnc_vs_C57BL.6J,CC015.Unc_vs_C57BL.6J,CC016.GeniUnc_vs_C57BL.6J,CC017.Unc_vs_C57BL.6J,CC018.Unc_vs_C57BL.6J,CC019.TauUnc_vs_C57BL.6J,CC021.Unc_vs_C57BL.6J,CC022.GeniUnc_vs_C57BL.6J,CC023.GeniUnc_vs_C57BL.6J,CC024.GeniUnc_vs_C57BL.6J,CC025.GeniUnc_vs_C57BL.6J,CC027.GeniUnc_vs_C57BL.6J,CC028.GeniUnc_vs_C57BL.6J,CC030.GeniUnc_vs_C57BL.6J,CC031.GeniUnc_vs_C57BL.6J,CC032.GeniUnc_vs_C57BL.6J,CC033.GeniUnc_vs_C57BL.6J,CC034.Unc_vs_C57BL.6J,CC035.Unc_vs_C57BL.6J,CC037.TauUnc_vs_C57BL.6J,CC038.GeniUnc_vs_C57BL.6J,CC039.Unc_vs_C57BL.6J,CC040.TauUnc_vs_C57BL.6J,CC041.TauUnc_vs_C57BL.6J,CC042.GeniUnc_vs_C57BL.6J,CC043.GeniUnc_vs_C57BL.6J,CC044.Unc_vs_C57BL.6J,CC045.GeniUnc_vs_C57BL.6J,CC046.Unc_vs_C57BL.6J,CC047.Unc_vs_C57BL.6J,CC051.TauUnc_vs_C57BL.6J,CC056.GeniUnc_vs_C57BL.6J,CC057.Unc_vs_C57BL.6J,CC059.TauUnc_vs_C57BL.6J,CC061.GeniUnc_vs_C57BL.6J,CC065.Unc_vs_C57BL.6J,Cast.EiJ_vs_C57BL.6J,IFNG_vs_C57BL.6J,NOD.ShiLtJ_vs_C57BL.6J,NOS_vs_C57BL.6J,NZO.H1LtJ_vs_C57BL.6J,PWK.PhJ_vs_C57BL.6J,Phox_vs_C57BL.6J,Rag_vs_C57BL.6J,Wsb.Eij_vs_C57BL.6J,in_vitro_vs_C57BL.6J,Functional_Category
Rv0535,0.9402,0.9475,0.8329,0.7233,0.8956,0.8395,0.3536,0.775,0.7647,0.5592,0.3855,0.0645,0.3907,0.8343,0.9006,0.9365,0.9612,0.9157,0.8485,0.7934,0.5736,0.9151,0.8906,0.7183,0.8959,0.6023,0.2584,0.7983,0.2187,0.2511,0.7141,0.4246,0.4883,0.9673,0.8264,0.2897,0.555,0.6221,0.584,0.9806,0.1895,0.3596,0.5218,0.768,0.5876,0.9988,0.6378,0.9538,0.8738,0.3642,0.8008,0.3905,0.8271,0.6247,0.636,0.8891,0.4558,0.3381,0.4959,0.3259,0.3695,0.4521,0.825,0.5901,0.5138,0.3774,0.5185,0.3816,1.0,0.9287,0.6412,0.2921,0.4585,0.4981,0.4042,0.4213,0.9442,0.7064,0.6907,0.4326,0.8732,0.3119,0.5197,0.4424,0.4182,0.4392,0.5324,0.271,0.9518,0.7125,0.3193,0.6302,0.558,0.9313,0.7166,0.7202,0.6963,0.366,0.8929,0.9818,0.9325,0.6904,0.5766,0.3254,0.961,0.8727,0.7074,0.7502,0.8528,0.6838,0.2611,0.5063,0.294,0.9076,0.6785,0.9856,0.5845,0.3473,0.3137,0.8873,0.9751,0.7458,0.9327,0.4089,0.3304,0.2281,0.3943,0.4631,intermediary metabolism and respiration
Rv0536,0.875,0.7559,0.5194,0.5301,0.9528,0.3296,0.6563,0.3979,0.2137,0.6302,0.5957,0.4951,0.8966,0.1633,0.8234,0.6546,0.5443,0.4584,0.9998,0.0956,0.9687,0.4932,0.3606,0.5261,0.1915,0.9845,0.0884,0.4208,0.6627,0.639,0.0697,0.2065,0.7402,0.8278,0.6028,0.4684,0.0049,0.6075,0.979,0.36,0.8708,0.2828,0.5116,0.7599,0.7236,0.8562,0.7614,0.7281,0.8313,0.4245,0.9579,0.7488,0.5433,0.7459,0.5256,0.8252,0.3678,0.2191,0.026,0.0001,0.1665,0.2445,0.5335,0.628,0.2892,0.2022,0.2911,0.1964,1.0,0.4786,0.1205,0.09,0.1624,0.2787,0.1496,0.2752,0.7444,0.419,0.2983,0.4366,0.3247,0.1079,0.5917,0.3119,0.5124,0.2264,0.3368,0.1099,0.1824,0.5128,0.2136,0.2822,0.2772,0.2747,0.7498,0.4586,0.8839,0.1524,0.282,0.1779,0.5382,0.2798,0.0808,0.34,0.3842,0.4181,0.2391,0.3929,0.336,0.5668,0.4962,0.179,0.2425,0.2816,0.2749,0.8205,0.3721,0.2234,0.1726,0.6995,0.9391,0.4026,0.173,0.0669,0.1543,0.2634,0.1673,0.2286,intermediary metabolism and respiration
Rv0537c,0.2553,0.3393,0.5064,0.8135,0.6598,0.8913,0.7455,0.5217,0.5804,0.7377,0.6744,0.466,0.8437,0.2351,0.4268,0.8491,0.9899,0.5302,0.6157,0.0317,0.4056,0.8995,0.3316,0.0168,0.0005,0.2035,0.5283,0.9836,0.4864,0.5583,0.2911,0.1257,0.318,0.4219,0.5006,0.5193,0.8881,0.9218,0.6038,0.0,0.2274,0.1844,0.4994,0.4244,0.2018,0.7178,0.3428,0.0892,0.0156,0.7593,0.7497,0.9434,0.0163,0.0,0.8696,0.8127,0.8749,0.048,0.7067,0.9554,0.1203,0.0232,0.6723,0.455,0.9517,0.9745,0.9538,0.9755,1.0,0.1688,0.2926,0.6045,0.8892,0.8991,0.9803,0.9926,0.5538,0.7684,0.8779,0.7453,0.9131,0.9644,0.9495,0.9497,0.952,0.5292,0.7703,0.6507,0.9042,0.4604,0.6428,0.4387,0.7585,0.877,0.5106,0.9813,0.2426,0.239,0.9065,0.9355,0.9278,0.6857,0.1391,0.9592,0.4971,0.9331,0.6779,0.3501,0.7956,0.8263,0.6091,0.9585,0.3995,0.7372,0.9709,0.7889,0.2467,0.909,0.9909,0.7742,0.858,0.784,0.8995,0.2605,0.851,0.6455,0.5619,0.3983,cell wall and cell processes
Rv0538,0.8335,0.9453,0.8199,0.7843,0.9509,0.1529,0.4128,0.6465,0.6709,0.4702,0.4726,0.4744,0.9305,0.716,0.5939,0.7698,0.3973,0.742,0.6631,0.2644,0.4579,0.4221,0.3694,0.2646,0.5385,0.2772,0.5858,0.7675,0.0846,0.0638,0.2063,0.6075,0.3037,0.8688,0.9625,0.1661,0.0,0.5427,0.4266,0.0,0.4333,0.7826,0.8461,0.5374,0.8754,0.3365,0.4385,0.0,0.0,0.9746,0.597,0.1387,0.004,0.0,0.163,0.8345,0.4715,0.5599,0.4086,0.0531,0.8161,0.8441,0.7109,0.9554,0.9358,0.9478,0.9354,0.9517,1.0,0.3906,0.5182,0.9073,0.9747,0.9426,0.831,0.8144,0.9224,0.6537,0.855,0.9279,0.8323,0.9985,0.5627,0.9725,0.9709,0.9812,0.7358,0.5852,0.7184,0.4247,0.825,0.6612,0.4863,0.8943,0.775,0.6259,0.474,0.8336,0.7775,0.8231,0.5442,0.9621,0.365,0.6881,0.7255,0.7279,0.988,0.7999,0.948,0.7997,0.8816,0.8104,0.6204,0.5206,0.8716,0.7655,0.8163,0.8291,0.7663,0.4879,0.5078,0.8923,0.8387,0.8483,0.8116,0.2519,0.9864,0.8205,cell wall and cell processes
Rv0539,0.9375,0.822,0.9338,0.7884,0.9009,0.5066,0.6924,0.7091,0.488,0.8797,0.2597,0.0897,0.6456,0.9888,0.7826,0.884,0.9142,0.9043,0.2264,0.6879,0.9785,0.0056,0.6046,0.8341,0.2256,0.6651,0.0116,0.4841,0.4568,0.986,1.0,0.1516,1.0,0.9529,0.8632,0.5732,0.6379,0.933,0.8725,0.2941,0.3616,0.9167,0.5689,0.3914,0.671,0.5246,0.655,0.6585,0.658,0.5557,0.825,0.8029,0.486,0.8464,0.9237,0.2167,0.049,1.0,0.74,0.0267,0.427,0.7517,1.0,0.8494,0.5659,0.6305,0.5563,0.6246,1.0,0.2313,0.0343,0.0128,0.0551,0.0197,0.0144,0.03,0.217,0.2011,0.2233,0.0811,0.0804,0.3046,0.501,0.0736,0.0856,0.0679,0.0293,0.929,0.2205,0.1714,0.0702,0.0967,0.4148,0.848,0.4997,0.1277,0.25,0.0476,0.1747,0.4054,0.5983,0.126,0.2204,0.0497,0.0817,0.4021,0.4455,0.0834,0.1194,0.104,0.6172,0.108,0.0391,0.1695,0.0655,0.1479,0.0602,0.0886,0.01,0.2719,0.1327,0.2323,0.0065,0.0555,0.0553,0.8787,0.3052,0.1006,intermediary metabolism and respiration
Rv0541c,0.6301,0.7953,0.1234,0.8104,0.8572,1.0,0.0123,0.8568,0.0035,0.0001,1.0,1.0,1.0,0.2261,0.0003,0.4343,0.2258,0.1422,0.5713,0.0267,0.0115,1.0,1.0,0.5153,1.0,0.4925,1.0,1.0,0.3959,1.0,1.0,1.0,1.0,0.5076,0.5744,1.0,0.0355,0.0992,1.0,0.0076,1.0,1.0,1.0,1.0,0.1174,0.5488,0.0922,0.2475,0.9407,0.8936,0.4992,1.0,1.0,1.0,0.1551,0.1589,0.2136,0.1642,1.0,1.0,0.1717,0.3501,0.1943,0.0004,1.0,1.0,1.0,1.0,1.0,0.0123,0.4017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell wall and cell processes
Rv0542c,0.9462,0.9454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3957,1.0,1.0,0.3953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9476,0.9457,1.0,0.9089,0.0064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2445,0.2457,1.0,1.0,1.0,1.0,1.0,0.7859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
Rv0544c,0.8343,0.7229,0.7968,0.5014,0.9311,0.1256,0.1305,0.6195,0.1935,0.0792,0.919,0.1185,0.2205,0.5858,0.9439,0.5961,0.9127,0.9643,0.6122,0.1217,0.797,0.4476,0.4114,0.9462,0.9627,0.3866,0.4689,0.3312,0.3741,0.1248,0.1781,0.4478,0.7501,0.7661,0.6796,0.0706,0.4057,0.3016,0.8772,0.5432,0.8348,0.0865,0.0773,0.66,0.2505,0.2139,0.1037,0.5254,0.3606,0.1714,0.7124,0.4696,0.3034,0.3684,0.7289,0.9234,0.4713,0.642,0.8663,0.5343,0.3291,0.2115,0.9936,0.1004,0.9026,0.9446,0.9029,0.9421,1.0,0.103,0.0488,0.5847,0.7251,0.2851,0.8016,0.3844,0.7742,0.2073,0.966,0.8144,0.8151,0.5806,0.3658,0.9377,0.2117,0.8642,0.6443,0.2316,0.3108,0.2774,0.9446,0.7738,0.5732,0.162,0.8269,0.332,0.7989,0.4634,0.6838,0.7341,0.6487,0.0883,0.9466,0.5747,0.384,0.5252,0.2259,0.8739,0.8411,0.144,0.6346,0.6707,0.5423,0.6342,0.6818,0.5121,0.4468,0.3207,0.5916,0.4297,0.8253,0.2411,0.8513,0.8033,0.4913,0.5169,0.2836,0.5315,cell wall and cell processes
Rv0545c,0.9044,0.9023,0.8863,0.102,0.9212,0.0713,0.0022,0.9451,0.0449,0.0197,0.7509,0.8021,0.5617,0.6496,0.8082,0.4699,0.185,0.7692,0.7014,0.3997,0.356,0.246,0.6129,0.0085,0.0683,0.7972,0.3921,0.0409,0.0642,0.1036,0.3078,0.086,0.4581,0.7645,0.1746,0.6913,0.7224,0.0786,0.5472,0.3709,0.7633,0.8203,0.3537,0.2091,0.6657,0.0061,0.0,0.5415,0.4944,0.2513,0.2705,0.5339,0.2221,0.1568,0.2907,0.8615,0.3242,0.3558,0.366,0.1381,0.6319,0.7231,0.7764,0.5752,0.5829,0.6247,0.5944,0.6252,1.0,0.0099,0.8653,0.7474,0.1998,0.2691,0.801,0.4811,0.9149,0.0515,0.5031,0.5421,0.5631,0.9129,0.9803,0.9917,0.9912,0.8371,0.3635,0.2501,0.5586,0.3977,0.152,0.2321,0.4596,0.1954,0.0312,0.8301,0.3266,0.5266,0.1152,0.3803,0.2844,0.0623,0.9676,0.9023,0.0435,0.1592,0.0407,0.0293,0.5199,0.0489,0.02,0.6332,0.4337,0.9379,0.5125,0.8513,0.8031,0.5955,0.5707,0.6356,0.2124,0.0636,0.6852,0.1348,0.7759,0.5794,0.224,0.0691,cell wall and cell processes
Rv0547c,0.9106,0.9861,0.8403,0.9381,0.9903,0.0056,0.4506,0.6934,0.7698,0.7319,0.9453,0.7971,0.6833,0.4341,0.281,0.526,0.8906,0.7847,0.5005,0.3989,0.6242,0.8617,0.2575,0.8853,0.7214,0.7711,0.261,0.7629,0.4945,0.3368,0.3568,0.8779,0.38,0.9764,0.8347,0.0316,0.1316,0.8495,0.6976,0.7475,0.8602,0.9067,0.417,0.2579,0.759,0.5315,0.1941,0.9206,0.8106,0.4193,0.9023,0.7913,0.7704,0.7518,0.8282,0.5494,0.7773,0.9756,0.0924,0.0521,0.3511,0.7461,0.0215,0.4983,0.8074,0.6578,0.8027,0.6514,1.0,0.9639,0.8312,0.7614,0.8627,0.888,0.732,0.8003,0.5112,0.505,0.9793,0.9089,0.8715,0.9894,0.9865,0.5678,0.6477,0.666,0.946,0.9341,0.6682,0.82,0.7864,0.919,0.8532,0.5918,0.7161,0.907,0.8279,0.6455,0.8225,0.4114,0.5306,0.4649,0.948,0.7563,0.8626,0.9468,0.8183,0.738,0.1543,0.5626,0.9874,0.9465,0.5266,0.5851,0.9173,0.3903,0.8006,0.9935,0.4768,0.9743,0.8245,0.5814,0.7781,0.4651,0.9941,0.7325,0.6193,0.7019,intermediary metabolism and respiration
Rv0548c,0.956,0.9901,1.0,0.4913,0.7397,0.2686,1.0,1.0,1.0,1.0,0.5496,0.8051,0.7993,0.3846,0.8223,0.6972,0.6401,0.8788,0.4499,0.3166,0.9327,0.2211,1.0,0.1591,0.2372,1.0,0.489,0.2381,1.0,0.4828,0.2367,1.0,1.0,0.9903,0.941,0.703,0.5914,0.9355,0.4752,0.5326,0.6153,0.2174,0.3091,1.0,0.3997,0.9096,0.7265,0.8679,0.8357,0.7285,0.9126,0.7348,0.7064,0.744,1.0,0.3967,0.4899,1.0,0.2366,1.0,0.6745,0.7828,1.0,1.0,0.523,0.8843,0.5266,0.8918,1.0,0.4059,0.6703,0.5514,1.0,0.6088,0.6459,0.6735,0.7786,0.3849,0.7693,0.8513,0.7678,0.825,0.6377,0.614,0.6622,0.7795,0.8248,0.7928,0.5108,0.8882,0.6107,0.643,0.6642,0.6428,0.662,0.7954,0.6495,0.7869,0.4895,0.6649,0.8508,0.6604,0.5689,0.6817,0.6029,0.8667,0.5534,0.4565,0.8246,0.8844,0.4972,0.4912,0.6298,0.965,0.9625,0.7895,0.5656,0.9626,0.7081,0.7642,0.8803,0.5462,0.8256,0.6261,0.599,0.4172,0.8338,0.8163,intermediary metabolism and respiration
Rv0549c,0.9481,0.7995,0.8841,0.4322,0.7334,0.9599,0.6564,0.5318,0.4513,0.8839,0.7626,0.5075,0.291,0.2043,0.396,0.9414,0.4871,0.8753,0.2967,0.8051,0.7064,0.0651,0.7742,0.7224,0.1781,0.7014,0.189,0.0004,0.5352,0.1687,0.9689,0.8325,0.0166,0.9025,0.8002,0.353,0.971,0.7657,0.712,0.4533,0.1442,0.7661,0.8773,0.5599,0.5268,0.5046,0.3967,0.7827,0.6991,0.846,0.9047,0.81,0.1726,0.8096,0.5664,0.4482,0.2922,0.5673,0.4583,0.0335,0.6703,0.1088,0.8183,0.0479,0.7621,0.6907,0.7596,0.6824,1.0,0.7834,0.9962,0.8731,0.9298,0.9978,0.9806,0.8178,0.5587,0.5845,0.9124,0.8933,0.9194,0.9551,0.937,0.9622,0.8874,0.7909,0.9472,0.982,0.7505,0.7661,0.9841,0.8625,0.9823,0.8717,0.5459,0.6542,0.8554,0.9342,0.9388,0.5856,0.7364,0.2642,0.675,0.9574,0.0297,0.9933,0.8964,0.8181,0.8373,0.498,0.7586,0.9959,0.8035,0.7856,0.919,0.8163,0.5704,0.8297,0.8585,0.9551,0.7636,0.9777,0.6532,0.9064,0.9582,0.5413,0.9254,0.744,"virulence, detoxification, adaptation"
Rv0550c,0.9372,0.8925,0.6024,0.435,0.5021,0.4321,0.4997,0.6925,1.0,1.0,0.1335,0.2566,0.2523,0.6903,0.7939,0.4481,0.3564,0.6047,0.6499,0.6807,0.5807,0.5396,1.0,0.1427,0.2033,0.4365,0.4539,0.9363,0.6228,0.6958,0.3152,0.8328,0.5681,0.9001,0.7663,0.817,0.5795,0.7835,0.8989,0.7304,0.0757,0.7246,0.7846,0.8479,0.4497,0.4383,0.1056,0.6407,0.6372,0.6589,0.9613,0.6983,0.7987,0.8097,1.0,0.8898,1.0,1.0,0.3787,0.6482,0.1557,0.6673,0.7087,0.704,0.7525,0.5439,0.755,0.5437,1.0,0.9907,0.9554,0.7511,0.7133,0.956,0.9114,1.0,0.3764,0.8095,0.9587,0.8766,0.958,0.6552,0.9185,0.9156,0.6717,1.0,0.8065,0.9125,0.666,0.6085,0.8726,0.8792,0.9557,0.9583,0.7289,0.8342,0.7111,0.9124,0.7393,0.5804,0.7463,1.0,0.7097,1.0,0.9575,0.9187,1.0,0.6881,0.8751,1.0,0.4022,0.914,0.9573,0.7103,0.8298,0.7093,0.6503,0.8342,0.9152,0.6053,0.8914,0.9607,0.6748,0.7165,0.7847,0.7299,0.6214,0.9457,"virulence, detoxification, adaptation"
Rv0551c,0.5538,0.4237,0.997,0.2468,0.572,0.7767,0.4294,0.8324,0.2222,0.7074,0.2353,0.4365,0.0143,0.2431,0.4493,0.3316,0.6144,0.8153,0.2305,0.2948,0.8243,0.3939,0.3897,0.4128,0.1135,0.6419,0.1681,0.2826,0.5304,0.0001,0.0082,0.6536,0.838,0.5147,0.3937,0.8793,0.9024,0.9986,0.7063,0.4186,0.1126,0.2343,0.4675,0.4878,0.7324,0.3642,0.1064,0.496,0.9554,0.4188,0.6907,0.7134,0.8755,0.8384,0.6057,0.571,0.2102,0.4764,0.5135,0.1917,0.5647,0.9771,0.9014,0.748,0.3311,0.3946,0.3304,0.3866,1.0,0.4263,0.5714,0.7411,0.7095,0.5909,0.9205,0.5212,0.8138,0.6537,0.3649,0.4646,0.9861,0.8128,0.0579,0.9561,0.6952,0.9942,0.2361,0.8969,0.1714,0.8284,0.8297,0.7942,0.3968,0.2079,0.782,0.4927,0.6791,0.8951,0.6702,0.0299,0.9528,0.0713,0.5416,0.6594,0.9044,0.5205,0.8055,0.3354,0.7865,0.7724,0.2916,0.6743,0.7969,0.384,0.6552,0.1562,0.9287,0.6762,0.731,0.3916,0.6446,0.2164,0.3051,0.6607,0.6142,0.1859,0.6249,0.3633,lipid metabolism
Rv0553,0.6468,0.6282,0.6724,0.3588,0.7443,0.5465,0.384,0.6078,0.8754,0.4696,0.4935,0.633,0.7794,0.209,0.8429,0.8457,0.5722,0.9885,0.6746,0.7563,0.1207,0.9281,0.7557,0.154,0.6029,0.4944,0.4889,0.1813,0.58,0.744,0.9227,0.9958,0.4566,0.336,0.0293,0.656,0.0274,0.9898,1.0,0.7655,0.2237,0.4377,0.5622,0.7378,0.4937,0.9969,0.1015,0.6143,0.5989,0.6912,0.6766,0.7481,0.6049,0.9683,1.0,0.9925,0.1784,1.0,0.6106,0.84,0.5343,0.5139,0.8105,0.9836,0.5907,0.6329,0.6011,0.6328,1.0,0.0239,0.7408,0.738,0.8839,0.8661,0.9276,0.9264,0.57,0.3837,0.7265,0.6428,0.9092,0.9271,0.7405,0.7593,0.6393,0.9779,0.6506,0.8508,0.6505,0.646,0.9257,1.0,0.7098,0.801,0.6266,0.6476,0.7429,0.8384,0.7717,0.3968,0.7488,0.5698,0.6688,0.7554,0.8342,0.6862,0.8708,0.4109,0.701,0.3729,0.7239,0.9313,0.7665,0.7411,0.7827,0.7094,0.6394,0.73,0.6686,0.5796,0.7242,0.9638,0.6268,1.0,1.0,0.6356,1.0,0.8853,intermediary metabolism and respiration
Rv0554,0.9213,0.9517,0.3541,0.0028,0.5465,0.6305,0.0,0.127,0.0,0.0,0.0016,0.0003,0.8877,0.72,0.1768,0.6348,0.3563,0.7973,0.5484,0.7645,0.091,0.0177,0.3338,0.4881,0.7128,0.0089,0.4634,0.0134,0.8183,0.9627,0.6388,0.0067,0.2043,0.9704,0.7618,0.7629,0.0003,0.0021,0.7826,0.0201,0.4689,0.0038,0.0,0.0007,0.0079,0.0,0.0,0.6544,0.6093,0.0138,0.0418,0.7314,0.5545,0.1092,0.2752,0.0362,0.6625,0.7982,0.0016,0.0,0.3688,0.0,0.1475,0.182,0.2904,0.972,0.2917,0.9764,1.0,0.0,0.5751,0.8326,0.3298,0.4378,0.6493,0.9634,0.4121,0.1225,0.2321,0.7783,0.5692,0.7228,0.0133,0.4511,0.4973,0.8092,0.2845,0.0247,0.0411,0.0469,0.6335,0.9055,0.597,0.0003,0.6065,0.1523,0.7834,0.3431,0.482,0.1302,0.4278,0.8395,0.6573,0.3099,0.6191,0.7209,0.4504,0.3122,0.0254,0.0,0.0108,0.728,0.3372,0.8197,0.9823,0.196,0.7551,0.6889,0.8545,0.0164,0.1866,0.3571,0.6339,0.1546,0.5645,0.1253,0.5762,0.0004,"virulence, detoxification, adaptation"
Rv0555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4082,0.3954,1.0,0.396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3968,1.0,1.0,0.4067,1.0,0.3987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,intermediary metabolism and respiration
